,comment,author,like
228,사장님 성함 &#39;이신돈&#39; 한국사 1급인 저로썬 이름에서 부터 심상치않은 내공을 오지게 느꼈다고 볼 수 있습니다.,hyuck Ronald,20
229,개 알레르기 심해서 못가겠군...,권서은,0
230,항상 구독과 좋아요 누릅니다. 그러다 보니 구독 취소가 될수 있음을 알려드립니다.,goodmerlin,1
231,해물 실한거보소;;;;;;,알루,0
232,간만에 1등 ㅎㅎ 항상 잘보고 있습니다 :),쟂,1
233,아...이번에는 진짜루 못가겠네...,드래곤윤,0
234,안그래도 사람 많은데 ㅠㅠ,쌍준아빠,1
235,월요일인데 반칙입니다.,메치카,1
236,"<a href=""https://www.youtube.com/watch?v=c7ExJuB8__8&amp;t=2m38s"">2:38</a> 뚱와와 사랑해ㅠㅠ❤️❤️❤️❤️❤️❤️❤️",God Ji갓지,1
237,치와와ㅡ카메라 의식하는거 보소 ㅎㅎ,bogun kim,0
238,치와와와의 ㅋㅋㅋㅋㅋㅋ,시슴,0
239,치와와가 인상적이셨나봅니다. 계속 화면에 나오네요,라떼는말이다.,0
240,저도 반려동물을 키우고 있지만 음식점에 반려동물이 있는 건 손님입장에서 위생상 별로 라고 느껴질 것 같아요ㅠ,박준서,1
241,세끼가 이르께 살발하게 들리긴 첨임,가로세로용돼지새끼,0
242,살발하네요 ~,킴태식,0
243,김사원 세끼님 질문있습니다. 팬된지 얼마안된사람인데. 목소리가 두분이신거 같은데 두분이서 운영하시는건가요?,김효진,0
244,이제 파상풍 간판대신 파상풍 파김치인겁니까?,Mei. kim,0
245,네가좋아요 일빠인데 끊나고보니 100개  ㄷㄷ,하늘후작,3
246,간만에 왔는데 목소리가 약간 얄미워지신것같아요 맛집소개감사합니다,편파적인찐드기,0
247,치와와 궁디가 섹시해서 음식에 눈이 안가네요,알라뷰,1
248,치와와우와우와우와우~,tbint Lim,0
249,당장 가고싶은데 여친이 개를 무서워해서 못가겠네 하...,컨택,0
250,ㅋㅋㅋㅋㅋ주작댓글 검거 개웃기네,오바빠돌이,0
251,"<a href=""https://www.youtube.com/watch?v=c7ExJuB8__8&amp;t=00m56s"">00:56</a> ㅁㅊ드립 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",가티부,0
252,안그래도 개가 많은데..,프리랜서 H,2
253,아 여기 안그래도 사람많은데 .;;;;;,ES P,0
254,김사원님~~<br>구독자수 정답 맞춘<br>만두케찹입니다<br>연락부탁드립니당,만두케찹,0
255,이 앞에 육성회비가 찐입니다.. 이집은 딱히..ㅋㅋㅋㅋㅋㅋ기대 안하고 가시길 추천,김김김,0
256,김사원님~ 어제 진짜 김사원님 맞으셨어요??😆,김지혜,0
257,세끼형 넘 오랜만..요새는 맘에 드는 곳이 없었나벼,lsj3211,1
258,오랫만이네요,신승재,1
259,ㅋㅋㅋㅋ,그러거나,0
260,대리로 승진해도 김사원세끼인가욘?,C.C,0
261,치와와만 보느라 무슨말 하시는지 하나도 못들었습니다,dkndkn21,1
262,삼합 치와와?,Y.E.S,0
263,거기 아기의자 있능교?,먹마즐TV,0
264,여기 안그래도...,아르트라,0
265,간만에 1등 달러 왔습니다,감튜브,3
266,넘버원입니다요,전하정,0
267,아 ㅈㄴ멀어 ㅋㅋ,눈누,0
268,"<a href=""https://www.youtube.com/watch?v=c7ExJuB8__8&amp;t=4m55s"">4:55</a>  꽃길이 삐친듯요?",JS* P,0
269,2주 만에 하악하악ㅜ,Minyuks Tube,3
270,치와와 콜라보 안보여요 ㅋ,chingching Jorgina,0
271,안그래도 여기,김영조,0
272,드디어 1빠댓글,E CHO,2
273,세끼님 인서타는 없나요??,잔망루피,2
274,치와와와의,JayDeee,0
275,선댓후감,주당 김자케,3
276,1등🎉,제이비,2
277,"손을 왜이렇게 떠시나요,,ㅜ",whisper,0
278,김사원세끼님 사람없다더니 지금 제앞에 열다섯팀있거든요?....  사람별로 없다는 말 믿고 여유롭게왔는데.. 사기꾼!!!,원태호,2
279,다들 1등이라하시니 전 2등,데헿,1
280,개가 산다는 것부터가 땡탈락,몽땅,1
281,1등인가요!!?,권영선,1
282,1빠,준식 박,1
283,1등 ㅅ ㅅ,조남호,1
284,1,황이다,1
285,1,임국빈,1
286,"식당에서 개를 같이 키우는 부분에 대해서는  개를 좋아하지만  종합적으로 않좋네요!  개가 수시로 배변을 할텐데 그거 일일히 손으로 관리해줘야 하잖습니까... ㅠㅠㅠ  우리개는 안 물어요 나 우리개는 깨끗해요,, 이런것이 아니길,,,,",Chung Lee,0
